inventory_id,product_id,warehouse_id,inventory_date,opening_stock,quantity_received,quantity_sold,closing_stock
63,3,3,2025-03-04,272,70,130,231
64,4,4,2025-03-05,201,86,116,199
65,5,5,2025-03-06,260,70,92,257
66,6,6,2025-03-07,238,113,90,292
67,7,7,2025-03-08,83,54,110,58
68,8,8,2025-03-09,101,32,108,35
69,9,9,2025-03-10,177,82,95,159
70,10,10,2025-03-11,44,17,149,0
71,11,1,2025-03-12,208,84,82,287
72,12,2,2025-03-13,229,104,110,224
73,13,3,2025-03-14,247,101,128,199
74,14,4,2025-03-15,213,80,131,162
75,15,5,2025-03-16,246,81,82,208
76,16,6,2025-03-17,216,103,130,206
77,17,7,2025-03-18,90,50,87,80
78,18,8,2025-03-19,120,60,90,0
79,19,9,2025-03-20,171,68,89,144
80,20,10,2025-03-21,55,33,146,0
81,1,1,2025-03-22,239,107,90,297
82,2,2,2025-03-23,241,71,95,196
83,3,3,2025-03-24,221,106,127,229
84,4,4,2025-03-25,277,76,126,212
85,5,5,2025-03-26,257,81,133,225
86,6,6,2025-03-27,250,110,119,221
87,7,7,2025-03-28,100,31,91,58
88,8,8,2025-03-29,89,22,120,15
89,9,9,2025-03-30,205,61,84,176
90,10,10,2025-03-31,68,15,90,0
91,11,1,2025-04-01,297,116,131,256
92,12,2,2025-04-02,263,111,127,255
93,13,3,2025-04-03,227,81,97,211
94,14,4,2025-04-04,239,109,103,210
95,15,5,2025-04-05,202,103,148,160
96,16,6,2025-04-06,208,72,147,153
97,17,7,2025-04-07,114,47,89,49
98,18,8,2025-04-08,94,24,94,0
99,19,9,2025-04-09,169,62,90,151
100,20,10,2025-04-10,73,21,99,0
101,1,1,2025-04-11,270,70,98,181
102,2,2,2025-04-12,252,76,94,233
103,3,3,2025-04-13,224,107,97,292
104,4,4,2025-04-14,242,103,92,240
105,5,5,2025-04-15,220,101,120,269
106,6,6,2025-04-16,225,90,86,224
107,7,7,2025-04-17,100,29,93,30
108,8,8,2025-04-18,113,49,84,85
109,9,9,2025-04-19,153,52,82,150
110,10,10,2025-04-20,61,15,139,0
111,11,1,2025-04-21,280,95,101,253
112,12,2,2025-04-22,212,111,104,234
113,13,3,2025-04-23,227,99,83,309
114,14,4,2025-04-24,272,102,128,195
115,15,5,2025-04-25,245,117,87,282
116,16,6,2025-04-26,254,88,83,301
117,17,7,2025-04-27,117,38,107,16
118,18,8,2025-04-28,120,60,92,83
119,19,9,2025-04-29,183,74,107,157
120,20,10,2025-04-30,54,39,131,0
121,1,1,2025-05-01,208,118,117,295
122,2,2,2025-05-02,256,104,87,289
123,3,3,2025-05-03,292,109,113,239
124,4,4,2025-05-04,204,110,133,187
125,5,5,2025-05-05,204,103,83,238
126,6,6,2025-05-06,251,86,88,271
127,7,7,2025-05-07,86,37,135,1
128,8,8,2025-05-08,95,49,138,3
129,9,9,2025-05-09,158,78,145,118
130,10,10,2025-05-10,65,26,112,0
131,11,1,2025-05-11,200,100,81,315
132,12,2,2025-05-12,274,108,88,318
133,13,3,2025-05-13,216,97,107,272
134,14,4,2025-05-14,254,108,122,266
135,15,5,2025-05-15,264,76,112,226
136,16,6,2025-05-16,246,106,96,289
137,17,7,2025-05-17,115,47,136,10
138,18,8,2025-05-18,95,25,98,10
139,19,9,2025-05-19,158,83,115,156
140,20,10,2025-05-20,63,12,129,0
141,1,1,2025-05-21,240,99,150,227
142,2,2,2025-05-22,226,112,123,202
143,3,3,2025-05-23,233,106,136,174
144,4,4,2025-05-24,263,70,110,175
145,5,5,2025-05-25,234,94,106,260
146,6,6,2025-05-26,287,99,99,244
147,7,7,2025-05-27,113,38,84,45
148,8,8,2025-05-28,80,29,147,0
149,9,9,2025-05-29,197,55,134,92
150,10,10,2025-05-30,52,18,147,0
151,11,1,2025-05-31,287,88,97,271
152,12,2,2025-06-01,262,120,147,187
153,13,3,2025-06-02,225,98,103,220
154,14,4,2025-06-03,215,120,119,296
155,15,5,2025-06-04,253,72,147,183
156,16,6,2025-06-05,212,94,106,219
157,17,7,2025-06-06,102,43,145,18
158,18,8,2025-06-07,80,47,115,49
159,19,9,2025-06-08,177,80,138,143
160,20,10,2025-06-09,62,32,81,0
161,1,1,2025-06-10,267,96,80,253
162,2,2,2025-06-11,223,91,124,248
163,3,3,2025-06-12,247,97,117,212
164,4,4,2025-06-13,270,111,106,242
165,5,5,2025-06-14,270,105,112,231
166,6,6,2025-06-15,279,102,98,218
167,7,7,2025-06-16,104,31,85,66
168,8,8,2025-06-17,83,40,104,44
169,9,9,2025-06-18,155,56,144,69
170,10,10,2025-06-19,69,24,90,0
171,11,1,2025-06-20,236,106,134,235
172,12,2,2025-06-21,248,112,143,199
173,13,3,2025-06-22,266,83,113,250
174,14,4,2025-06-23,217,116,115,262
175,15,5,2025-06-24,254,117,145,239
176,16,6,2025-06-25,211,107,112,195
177,17,7,2025-06-26,98,40,134,16
178,18,8,2025-06-27,120,59,82,0
179,19,9,2025-06-28,164,76,136,121
180,20,10,2025-06-29,71,26,120,0
181,1,1,2025-06-30,254,89,140,153
182,2,2,2025-07-01,208,111,94,280
183,3,3,2025-07-02,290,82,119,249
184,4,4,2025-07-03,293,94,109,236
185,5,5,2025-07-04,258,83,95,188
186,6,6,2025-07-05,291,83,80,212
187,7,7,2025-07-06,84,29,146,0
188,8,8,2025-07-07,98,34,118,24
189,9,9,2025-07-08,183,51,140,113
190,10,10,2025-07-09,42,22,134,0
191,11,1,2025-07-10,291,84,148,201
192,12,2,2025-07-11,268,102,134,263
193,13,3,2025-07-12,242,107,84,320
194,14,4,2025-07-13,231,91,125,201
195,15,5,2025-07-14,243,75,108,254
196,16,6,2025-07-15,253,75,119,202
197,17,7,2025-07-16,113,60,92,86
198,18,8,2025-07-17,84,57,127,39
199,19,9,2025-07-18,209,55,85,157
200,20,10,2025-07-19,45,31,118,0
201,1,1,2025-07-20,273,114,125,214
202,2,2,2025-07-21,239,72,121,163
203,3,3,2025-07-22,216,113,114,275
204,4,4,2025-07-23,287,98,148,154
205,5,5,2025-07-24,293,113,144,255
206,6,6,2025-07-25,220,116,135,278
207,7,7,2025-07-26,109,56,119,34
208,8,8,2025-07-27,102,38,86,33
209,9,9,2025-07-28,183,60,111,123
210,10,10,2025-07-29,40,13,82,10
211,11,1,2025-07-30,265,76,107,250
212,12,2,2025-07-31,231,108,148,193
213,13,3,2025-08-01,215,103,124,224
214,14,4,2025-08-02,221,78,141,191
215,15,5,2025-08-03,269,97,80,270
216,16,6,2025-08-04,227,82,114,224
217,17,7,2025-08-05,90,60,104,58
218,18,8,2025-08-06,115,38,109,34
219,19,9,2025-08-07,197,69,115,138
220,20,10,2025-08-08,71,36,122,0
221,1,1,2025-08-09,236,83,90,228
222,2,2,2025-08-10,225,109,123,262
223,3,3,2025-08-11,229,77,114,238
224,4,4,2025-08-12,289,96,117,273
225,5,5,2025-08-13,207,113,148,247
226,6,6,2025-08-14,276,70,91,204
227,7,7,2025-08-15,101,55,141,1
228,8,8,2025-08-16,87,56,139,36
229,9,9,2025-08-17,152,50,144,86
230,10,10,2025-08-18,67,23,140,0
231,11,1,2025-08-19,267,75,129,152
232,12,2,2025-08-20,214,82,99,271
233,13,3,2025-08-21,250,120,147,230
234,14,4,2025-08-22,270,97,93,285
235,15,5,2025-08-23,278,75,109,204
236,16,6,2025-08-24,290,87,109,236
237,17,7,2025-08-25,108,31,141,0
238,18,8,2025-08-26,85,58,129,17
239,19,9,2025-08-27,170,59,124,136
240,20,10,2025-08-28,78,39,149,0
241,1,1,2025-08-29,293,90,133,218
242,2,2,2025-08-30,276,91,113,190
243,3,3,2025-08-31,282,81,110,197
244,4,4,2025-09-01,218,73,106,227
245,5,5,2025-09-02,238,120,134,232
246,6,6,2025-09-03,234,115,119,215
247,7,7,2025-09-04,92,51,138,0
248,8,8,2025-09-05,115,51,126,34
249,9,9,2025-09-06,192,83,138,152
250,10,10,2025-09-07,56,18,149,0
251,11,1,2025-09-08,279,71,122,205
252,12,2,2025-09-09,270,102,104,247
253,13,3,2025-09-10,201,101,119,253
254,14,4,2025-09-11,251,92,95,251
255,15,5,2025-09-12,244,109,137,189
256,16,6,2025-09-13,220,84,104,191
257,17,7,2025-09-14,120,30,91,0
258,18,8,2025-09-15,111,52,137,31
259,19,9,2025-09-16,203,70,117,112
260,20,10,2025-09-17,69,26,110,0
261,1,1,2025-09-18,235,116,106,289
262,2,2,2025-09-19,201,82,144,148
263,3,3,2025-09-20,230,101,101,215
264,4,4,2025-09-21,242,116,96,240
265,5,5,2025-09-22,232,95,93,221
266,6,6,2025-09-23,204,70,142,128
267,7,7,2025-09-24,81,28,105,6
268,8,8,2025-09-25,84,20,104,7
269,9,9,2025-09-26,160,78,101,150
270,10,10,2025-09-27,46,32,148,0
271,11,1,2025-09-28,225,110,104,256
272,12,2,2025-09-29,204,105,147,195
273,13,3,2025-09-30,209,104,86,294
274,14,4,2025-10-01,273,80,102,262
275,15,5,2025-10-02,206,117,124,292
276,16,6,2025-10-03,236,75,89,246
277,17,7,2025-10-04,106,46,114,0
278,18,8,2025-10-05,112,24,116,18
279,19,9,2025-10-06,193,52,128,116
280,20,10,2025-10-07,69,29,131,0
281,1,1,2025-10-08,251,72,138,225
282,2,2,2025-10-09,233,90,125,251
283,3,3,2025-10-10,288,87,90,250
284,4,4,2025-10-11,226,89,82,259
285,5,5,2025-10-12,270,76,148,182
286,6,6,2025-10-13,221,118,149,212
287,7,7,2025-10-14,115,40,112,47
288,8,8,2025-10-15,91,46,148,0
289,9,9,2025-10-16,183,77,137,123
290,10,10,2025-10-17,64,27,130,0
291,11,1,2025-10-18,240,70,113,252
292,12,2,2025-10-19,241,93,116,206
293,13,3,2025-10-20,251,82,99,205
294,14,4,2025-10-21,233,74,97,239
295,15,5,2025-10-22,263,87,86,203
296,16,6,2025-10-23,232,87,106,218
297,17,7,2025-10-24,102,53,136,0
298,18,8,2025-10-25,81,28,137,0
299,19,9,2025-10-26,191,86,135,118
300,20,10,2025-10-27,60,22,91,0
301,1,1,2025-10-28,295,102,114,231
302,2,2,2025-10-29,214,105,91,313
303,3,3,2025-10-30,212,93,140,158
304,4,4,2025-10-31,293,105,87,308
305,5,5,2025-11-01,292,84,109,186
306,6,6,2025-11-02,289,99,127,183
307,7,7,2025-11-03,97,33,149,0
308,8,8,2025-11-04,96,39,97,47
309,9,9,2025-11-05,183,79,106,142
310,10,10,2025-11-06,79,22,132,0
311,11,1,2025-11-07,225,112,99,295
312,12,2,2025-11-08,223,96,140,225
313,13,3,2025-11-09,257,119,127,203
314,14,4,2025-11-10,300,106,142,240
315,15,5,2025-11-11,247,97,81,224
316,16,6,2025-11-12,277,89,116,232
317,17,7,2025-11-13,90,31,139,0
318,18,8,2025-11-14,103,33,86,0
319,19,9,2025-11-15,152,80,123,153
320,20,10,2025-11-16,73,14,100,0
321,1,1,2025-11-17,288,101,97,276
322,2,2,2025-11-18,288,111,142,260
323,3,3,2025-11-19,263,99,93,240
324,4,4,2025-11-20,284,81,110,210
325,5,5,2025-11-21,219,88,88,217
326,6,6,2025-11-22,220,71,128,169
327,7,7,2025-11-23,117,55,140,0
328,8,8,2025-11-24,83,53,126,30
329,9,9,2025-11-25,187,88,134,114
330,10,10,2025-11-26,72,12,107,0
331,11,1,2025-11-27,215,77,122,189
332,12,2,2025-11-28,253,104,111,291
333,13,3,2025-11-29,225,105,103,222
334,14,4,2025-11-30,225,118,99,250
335,15,5,2025-12-01,238,107,81,318
336,16,6,2025-12-02,274,82,136,172
337,17,7,2025-12-03,80,47,89,58
338,18,8,2025-12-04,118,57,84,81
339,19,9,2025-12-05,192,53,97,133
340,20,10,2025-12-06,42,37,88,0
341,1,1,2025-12-07,295,101,123,192
342,2,2,2025-12-08,242,107,148,170
343,3,3,2025-12-09,211,117,108,278
344,4,4,2025-12-10,300,96,94,217
345,5,5,2025-12-11,276,86,111,264
346,6,6,2025-12-12,241,96,118,261
347,7,7,2025-12-13,111,25,106,26
348,8,8,2025-12-14,114,26,83,43
349,9,9,2025-12-15,163,87,111,185
350,10,10,2025-12-16,69,40,102,0
351,11,1,2025-12-17,231,112,124,254
352,12,2,2025-12-18,290,75,85,241
353,13,3,2025-12-19,296,98,121,245
354,14,4,2025-12-20,286,115,81,305
355,15,5,2025-12-21,210,93,103,234
356,16,6,2025-12-22,277,104,136,223
357,17,7,2025-12-23,84,60,113,60
358,18,8,2025-12-24,119,48,96,37
359,19,9,2025-12-25,172,78,123,128
360,20,10,2025-12-26,44,29,135,0
361,1,1,2025-12-27,254,110,107,212
362,2,2,2025-12-28,286,84,89,260
363,3,3,2025-12-29,288,89,121,231
364,4,4,2025-12-30,246,93,142,156
365,5,5,2025-12-31,230,70,89,223
366,6,6,2026-01-01,214,104,86,274
367,7,7,2026-01-02,119,59,111,30
368,8,8,2026-01-03,95,21,118,0
369,9,9,2026-01-04,167,72,96,170
370,10,10,2026-01-05,50,27,87,15
371,11,1,2026-01-06,287,111,98,220
372,12,2,2026-01-07,260,85,90,210
373,13,3,2026-01-08,224,110,150,179
374,14,4,2026-01-09,268,99,150,201
375,15,5,2026-01-10,255,85,93,263
376,16,6,2026-01-11,251,90,126,227
377,17,7,2026-01-12,98,58,106,0
378,18,8,2026-01-13,96,41,143,0
379,19,9,2026-01-14,191,78,143,132
380,20,10,2026-01-15,40,16,148,0
381,1,1,2026-01-16,246,102,150,161
382,2,2,2026-01-17,202,77,143,177
383,3,3,2026-01-18,269,120,141,214
384,4,4,2026-01-19,226,98,116,211
385,5,5,2026-01-20,258,98,84,301
386,6,6,2026-01-21,212,120,139,241
387,7,7,2026-01-22,86,31,121,0
388,8,8,2026-01-23,114,48,131,12
389,9,9,2026-01-24,157,52,115,87
390,10,10,2026-01-25,64,28,82,0
391,11,1,2026-01-26,289,114,121,273
392,12,2,2026-01-27,220,118,102,260
393,13,3,2026-01-28,274,96,135,202
394,14,4,2026-01-29,251,112,122,233
395,15,5,2026-01-30,204,119,146,225
396,16,6,2026-01-31,215,76,147,177
397,17,7,2026-02-01,97,30,112,25
398,18,8,2026-02-02,83,27,107,23
399,19,9,2026-02-03,150,85,115,137
400,20,10,2026-02-04,49,32,143,0
401,1,1,2026-02-05,205,97,109,218
402,2,2,2026-02-06,202,92,108,220
403,3,3,2026-02-07,206,72,141,194
404,4,4,2026-02-08,203,88,125,233
405,5,5,2026-02-09,276,96,112,200
406,6,6,2026-02-10,236,88,84,250
407,7,7,2026-02-11,114,59,140,33
408,8,8,2026-02-12,84,24,112,0
409,9,9,2026-02-13,178,50,136,97
410,10,10,2026-02-14,50,26,102,0
411,11,1,2026-02-15,277,109,132,232
412,12,2,2026-02-16,264,71,110,258
413,13,3,2026-02-17,285,77,91,222
414,14,4,2026-02-18,273,91,142,160
415,15,5,2026-02-19,277,82,135,231
416,16,6,2026-02-20,228,111,119,252
417,17,7,2026-02-21,118,45,148,0
418,18,8,2026-02-22,119,41,91,51
419,19,9,2026-02-23,207,71,80,152
420,20,10,2026-02-24,47,27,142,0
421,1,1,2026-02-25,238,115,127,248
422,2,2,2026-02-26,298,79,101,218
423,3,3,2026-02-27,213,90,116,237
424,4,4,2026-02-28,284,80,89,253
425,5,5,2026-03-01,220,110,148,164
426,6,6,2026-03-02,224,99,118,253
427,7,7,2026-03-03,119,57,101,57
428,8,8,2026-03-04,111,51,93,49
429,9,9,2026-03-05,168,62,102,149
430,10,10,2026-03-06,61,35,109,0
431,11,1,2026-03-07,241,86,95,243
432,12,2,2026-03-08,293,102,150,180
433,13,3,2026-03-09,282,76,138,182
434,14,4,2026-03-10,218,82,148,234
435,15,5,2026-03-11,227,72,108,250
436,16,6,2026-03-12,279,120,113,253
437,17,7,2026-03-13,110,21,83,26
438,18,8,2026-03-14,104,24,118,15
439,19,9,2026-03-15,159,60,100,167
440,20,10,2026-03-16,59,38,129,0
441,1,1,2026-03-17,228,98,143,229
442,2,2,2026-03-18,240,71,83,263
443,3,3,2026-03-19,237,116,105,297
444,4,4,2026-03-20,247,96,124,198
445,5,5,2026-03-21,265,113,127,278
446,6,6,2026-03-22,263,83,138,216
447,7,7,2026-03-23,96,24,127,8
448,8,8,2026-03-24,108,51,113,29
449,9,9,2026-03-25,195,89,125,146
450,10,10,2026-03-26,49,19,128,0
451,11,1,2026-03-27,209,96,141,159
452,12,2,2026-03-28,204,80,93,254
453,13,3,2026-03-29,224,81,99,220
454,14,4,2026-03-30,240,86,126,235
455,15,5,2026-03-31,260,108,80,252
456,16,6,2026-04-01,222,75,132,164
457,17,7,2026-04-02,88,21,137,0
458,18,8,2026-04-03,95,32,128,0
459,19,9,2026-04-04,200,62,99,128
460,20,10,2026-04-05,79,19,93,0
461,1,1,2026-04-06,234,103,103,271
462,2,2,2026-04-07,249,75,123,230
463,3,3,2026-04-08,243,94,146,228
464,4,4,2026-04-09,248,100,128,210
465,5,5,2026-04-10,250,79,93,262
466,6,6,2026-04-11,214,89,126,203
467,7,7,2026-04-12,89,27,82,58
468,8,8,2026-04-13,98,60,137,19
469,9,9,2026-04-14,150,57,125,113
470,10,10,2026-04-15,68,28,141,0
471,11,1,2026-04-16,295,86,84,295
472,12,2,2026-04-17,285,116,80,336
473,13,3,2026-04-18,285,79,82,242
474,14,4,2026-04-19,279,93,106,273
475,15,5,2026-04-20,216,91,111,262
476,16,6,2026-04-21,240,97,102,244
477,17,7,2026-04-22,97,54,147,18
478,18,8,2026-04-23,87,51,137,5
479,19,9,2026-04-24,204,81,149,106
480,20,10,2026-04-25,58,10,88,0
481,1,1,2026-04-26,245,94,147,200
482,2,2,2026-04-27,279,101,135,196
483,3,3,2026-04-28,214,81,122,246
484,4,4,2026-04-29,285,92,84,301
485,5,5,2026-04-30,297,94,92,293
486,6,6,2026-05-01,240,120,123,239
487,7,7,2026-05-02,100,37,128,0
488,8,8,2026-05-03,90,21,117,6
489,9,9,2026-05-04,197,60,89,129
490,10,10,2026-05-05,65,20,103,0
491,11,1,2026-05-06,219,79,80,208
492,12,2,2026-05-07,246,107,137,208
493,13,3,2026-05-08,231,83,134,232
494,14,4,2026-05-09,250,97,140,187
495,15,5,2026-05-10,278,106,126,230
496,16,6,2026-05-11,273,70,86,254
497,17,7,2026-05-12,90,57,98,47
498,18,8,2026-05-13,119,59,142,1
499,19,9,2026-05-14,174,80,111,119
500,20,10,2026-05-15,49,21,131,0
501,1,1,2026-05-16,228,91,144,169
502,2,2,2026-05-17,225,84,129,158
503,3,3,2026-05-18,223,117,80,281
504,4,4,2026-05-19,290,120,90,306
505,5,5,2026-05-20,206,96,104,278
506,6,6,2026-05-21,248,92,133,211
507,7,7,2026-05-22,81,21,97,25
508,8,8,2026-05-23,95,47,80,49
509,9,9,2026-05-24,184,76,108,157
510,10,10,2026-05-25,72,11,113,0
511,11,1,2026-05-26,297,80,92,248
512,12,2,2026-05-27,265,108,131,258
513,13,3,2026-05-28,201,70,92,249
514,14,4,2026-05-29,291,108,98,291
515,15,5,2026-05-30,226,105,94,303
516,16,6,2026-05-31,284,104,104,219
517,17,7,2026-06-01,103,33,98,0
518,18,8,2026-06-02,106,54,145,1
519,19,9,2026-06-03,156,72,96,167
520,20,10,2026-06-04,79,32,108,0
521,1,1,2026-06-05,253,80,136,238
522,2,2,2026-06-06,238,88,133,255
523,3,3,2026-06-07,223,84,85,266
524,4,4,2026-06-08,287,81,123,196
525,5,5,2026-06-09,246,76,132,192
526,6,6,2026-06-10,240,73,86,281
527,7,7,2026-06-11,81,38,117,32
528,8,8,2026-06-12,114,34,145,0
529,9,9,2026-06-13,173,69,92,151
530,10,10,2026-06-14,71,34,101,0
531,11,1,2026-06-15,253,107,137,222
532,12,2,2026-06-16,222,115,148,227
533,13,3,2026-06-17,207,117,147,171
534,14,4,2026-06-18,290,119,148,265
535,15,5,2026-06-19,283,85,136,175
536,16,6,2026-06-20,212,106,80,285
537,17,7,2026-06-21,111,28,101,7
538,18,8,2026-06-22,105,58,114,35
539,19,9,2026-06-23,194,79,86,187
540,20,10,2026-06-24,60,14,80,0
541,1,1,2026-06-25,204,104,107,262
542,2,2,2026-06-26,235,75,80,280
543,3,3,2026-06-27,248,73,96,199
544,4,4,2026-06-28,259,105,86,259
545,5,5,2026-06-29,207,95,112,276
546,6,6,2026-06-30,237,100,131,189
547,7,7,2026-07-01,88,27,83,39
548,8,8,2026-07-02,90,30,112,21
549,9,9,2026-07-03,182,86,83,207
550,10,10,2026-07-04,79,15,147,0
551,11,1,2026-07-05,205,104,118,193
552,12,2,2026-07-06,271,95,91,254
553,13,3,2026-07-07,257,74,106,168
554,14,4,2026-07-08,239,77,142,158
555,15,5,2026-07-09,269,100,101,247
556,16,6,2026-07-10,287,92,94,287
557,17,7,2026-07-11,88,25,109,14
558,18,8,2026-07-12,113,26,119,0
559,19,9,2026-07-13,200,63,109,119
560,20,10,2026-07-14,73,29,147,0
561,1,1,2026-07-15,238,110,130,236
562,2,2,2026-07-16,245,70,119,204
563,3,3,2026-07-17,215,96,149,191
564,4,4,2026-07-18,204,72,97,249
565,5,5,2026-07-19,290,108,86,256
566,6,6,2026-07-20,220,71,118,219
567,7,7,2026-07-21,85,31,102,0
568,8,8,2026-07-22,84,60,85,66
569,9,9,2026-07-23,195,79,126,109
570,10,10,2026-07-24,78,30,113,0
571,11,1,2026-07-25,241,111,121,235
572,12,2,2026-07-26,280,112,121,278
573,13,3,2026-07-27,259,105,104,272
574,14,4,2026-07-28,296,95,99,269
575,15,5,2026-07-29,233,80,97,233
576,16,6,2026-07-30,240,77,128,156
577,17,7,2026-07-31,106,35,110,5
578,18,8,2026-08-01,119,56,90,47
579,19,9,2026-08-02,191,57,104,153
580,20,10,2026-08-03,59,17,98,0
581,1,1,2026-08-04,287,73,92,212
582,2,2,2026-08-05,287,104,92,217
583,3,3,2026-08-06,230,105,137,185
584,4,4,2026-08-07,268,71,147,157
585,5,5,2026-08-08,286,78,146,139
586,6,6,2026-08-09,280,86,82,266
587,7,7,2026-08-10,112,44,114,14
588,8,8,2026-08-11,117,59,126,23
589,9,9,2026-08-12,202,68,105,131
590,10,10,2026-08-13,72,36,83,1
591,11,1,2026-08-14,243,78,83,247
592,12,2,2026-08-15,267,83,122,231
593,13,3,2026-08-16,271,73,118,159
594,14,4,2026-08-17,230,117,86,330
595,15,5,2026-08-18,296,116,114,219
596,16,6,2026-08-19,216,72,106,227
597,17,7,2026-08-20,88,35,136,0
598,18,8,2026-08-21,109,40,125,33
599,19,9,2026-08-22,184,88,147,97
600,20,10,2026-08-23,69,40,150,0
601,1,1,2026-08-24,233,117,119,276
602,2,2,2026-08-25,203,120,149,213
603,3,3,2026-08-26,235,73,137,235
604,4,4,2026-08-27,245,120,105,224
605,5,5,2026-08-28,294,109,127,193
606,6,6,2026-08-29,209,73,80,289
607,7,7,2026-08-30,84,47,147,0
608,8,8,2026-08-31,81,37,90,46
609,9,9,2026-09-01,180,79,114,119
610,10,10,2026-09-02,71,14,99,0
611,11,1,2026-09-03,247,82,100,266
612,12,2,2026-09-04,216,117,86,245
613,13,3,2026-09-05,269,70,146,130
614,14,4,2026-09-06,251,104,147,157
615,15,5,2026-09-07,264,79,136,188
616,16,6,2026-09-08,232,98,116,212
617,17,7,2026-09-09,85,20,83,0
618,18,8,2026-09-10,98,35,143,6
619,19,9,2026-09-11,191,78,98,152
620,20,10,2026-09-12,55,38,131,0
621,1,1,2026-09-13,250,74,105,200
622,2,2,2026-09-14,273,107,138,244
623,3,3,2026-09-15,245,80,137,160
624,4,4,2026-09-16,213,106,117,216
625,5,5,2026-09-17,286,106,93,224
626,6,6,2026-09-18,234,113,85,312
627,7,7,2026-09-19,80,52,113,25
628,8,8,2026-09-20,107,26,127,0
629,9,9,2026-09-21,151,68,94,173
630,10,10,2026-09-22,41,37,144,0
631,11,1,2026-09-23,270,96,144,170
632,12,2,2026-09-24,210,95,96,223
633,13,3,2026-09-25,219,82,136,237
634,14,4,2026-09-26,286,111,149,193
635,15,5,2026-09-27,212,85,93,258
636,16,6,2026-09-28,221,93,120,253
637,17,7,2026-09-29,85,32,117,10
638,18,8,2026-09-30,120,59,89,0
639,19,9,2026-10-01,206,71,95,173
640,20,10,2026-10-02,74,27,99,0
641,1,1,2026-10-03,266,70,122,185
642,2,2,2026-10-04,248,92,100,230
643,3,3,2026-10-05,260,81,138,236
644,4,4,2026-10-06,211,74,123,155
645,5,5,2026-10-07,264,80,88,238
646,6,6,2026-10-08,272,84,119,175
647,7,7,2026-10-09,95,20,122,0
648,8,8,2026-10-10,91,41,84,76
649,9,9,2026-10-11,167,70,143,95
650,10,10,2026-10-12,53,37,120,0
651,11,1,2026-10-13,205,112,116,284
652,12,2,2026-10-14,253,82,93,218
653,13,3,2026-10-15,230,71,146,217
654,14,4,2026-10-16,223,91,150,197
655,15,5,2026-10-17,236,87,98,240
656,16,6,2026-10-18,219,78,97,190
657,17,7,2026-10-19,90,51,145,0
658,18,8,2026-10-20,112,60,139,5
659,19,9,2026-10-21,190,53,141,105
660,20,10,2026-10-22,77,28,98,0
661,1,1,2026-10-23,280,111,121,211
662,2,2,2026-10-24,268,82,133,173
